"功能模块","需求项","合同判断","对应合同","工作安排判断","对应工作安排","综合判断","备注（理解）"
"问答","标准规范、行业知识、企业管理问答","部分相关，需解释","合同第（3）条：""引入领域水文知识提示机制""；""探索语义增强、控制引导等水文知识嵌入方式""","部分对应","工作安排第3类：""水文知识嵌入表达""；""基于检索增强生成（RAG）的智能问答""；""语义增强提示生成器""","部分对应","水文规范、行业知识问答与合同、工作安排均有较强关联；但企业管理问答未见明确依据，建议视为扩展项。"
"问数（调用系统数据实现数据问答功能）","询问某个监测站点当前监测数值，AI给出答案后询问是否系统定位，确认后GIS地图自动定位至该测点并展示过程线","合同未提及","无直接对应条款；仅可间接参考合同第（1）条“多源水文、气象数据的统一接入与标准化预处理”","部分对应","工作安排第1类：""结构化数据接入""；第2类：""大模型调用工作流策略""","部分对应","工作安排支持历史/实时数据提取接口，可为问数提供底座；但自然语言问数、GIS联动定位、过程线展示未被明确写入。"
"问数（调用系统数据实现数据问答功能）","询问某个监测站点指定时间范围内的监测数值并在AI页面绘制曲线","合同未提及","无直接对应条款；仅可间接参考合同第（1）条的数据接入与结果输出","部分对应","工作安排第1类：""结构化数据接入""；""预测结果输出""","部分对应","时间范围查询与可视化可建立在数据接口和输出能力之上，但仍属于应用化扩展，不是合同或工作安排中的明确表述。"
"问数（调用系统数据实现数据问答功能）","询问历史调度信息，总结历史调度情况并给出相应参考文件","合同未提及","无直接对应条款","部分对应","工作安排第1类：""水文模型算法库""（含水量调度、水库调度算法实现）；第3类：""基于检索增强生成（RAG）的智能问答""","部分对应","若已有调度资料和历史案例入库，可勉强支撑问答；但历史调度记录检索、总结和参考文件推荐未被明确写成独立交付功能。"
"问数（调用系统数据实现数据问答功能）","历史最大洪水、最大降雨、历史发电记录信息问答","合同未提及","无直接对应条款；其中历史洪水、降雨数据可与合同第（3）条历史水文气象要素输入相关","部分对应","工作安排第1类：""结构化数据接入""；第3类：""基于检索增强生成（RAG）的智能问答""","部分对应","历史洪水、降雨数据查询有一定基础；但历史发电记录未在合同和工作安排中被明确提到，属于扩展解释。"
"洪水预报调度预演","洪水预报：AI页面给出参数输入引导，根据用户输入参数调用洪水预报模型并展示预报结果（包括图）","明确在合同内","合同第（1）条：""围绕流域来水预报需求""；""完成模型加载、调用、结果输出等核心流程集成""；合同第（4）条：""结果输出机制""","明确对应","工作安排第1类：""大小模型协同预测框架（智能体框架设计）""；""预测结果输出""；第2类：""大模型工作流相关库""（模型预测、预测预警）；""构建水利业务工作流""（洪水四预业务工作流）","明确对应","这是合同和工作安排共同覆盖的核心能力，属于最稳妥的对应项。"
"洪水预报调度预演","洪水预报调度：AI页面给出参数输入引导，根据用户输入参数调用洪水预报模型和调度模型，并展示预报调度结果（包括图）","部分相关，需解释","可关联合同第（2）条：""协同策略调度机制""；但该条本意更偏向模型协同与调用优先级，而非业务调度","明确对应","工作安排第1类：""水文模型算法库""（含水量调度、水库调度算法实现）；第2类：""构建水利业务工作流""（洪水四预业务工作流、水资源管理工作流）；""大模型调用工作流策略""","明确对应","若结合工作安排，这一项已有较强依据；但论证时应说明主要依据来自工作安排细化，而非仅凭合同“协同调度”字样直接推出。"
"洪水预报调度预演","洪水（预报调度）预演：询问历史洪水淹没情况，AI页面总结淹没情况，并在确认后展示三维预演成果","合同未提及","无直接对应条款","部分对应","工作安排第2类：""大模型工作流相关库""（预演执行）；""构建水利业务工作流""（洪水四预业务工作流）","部分对应","工作安排对“预演”有一定支撑，但历史洪水淹没分析、三维可视化展示、水动力仿真并未被明确写出，建议认定为部分对应。"
"辅助决策","输入当前大坝、厂房、闸门等故障信息，给出可能原因、解决措施和依据，并给出历史相似故障记录","合同未提及","无直接对应条款","工作安排未明确对应","无直接对应条款","未明确对应","这是设备运维诊断和故障知识推理场景，超出水文预测、工作流和知识问答的既有边界。"
"辅助决策","AI页面给出参数输入引导，根据输入直接给出调度建议和依据","合同未提及","无直接对应条款","部分对应","工作安排第1类：""水文模型算法库""（含水量调度、水库调度算法实现）；第2类：""构建水利业务工作流""（洪水四预业务工作流、水资源管理工作流）；""大模型调用工作流策略""","部分对应","工作安排已具备调度算法和业务工作流基础，但“建议 + 依据”这种面向用户的决策解释能力仍需要进一步产品化定义。"
"智能培训","根据用户输入的操作指令，给出操作步骤，最好能给出相应的操作视频","合同未提及","无直接对应条款","工作安排未明确对应","无直接对应条款","未明确对应","RAG问答可弱支撑文本化操作说明，但培训流程、标准步骤编排、视频素材组织并未在工作安排中明确。"
"知识库","支持用户更新知识库","部分相关，需解释","合同第（3）条：""水文知识提示机制""；""水文知识嵌入方式""","部分对应","工作安排第3类：""多源数据管理存储和调用""；""水文知识嵌入表达""；""基于检索增强生成（RAG）的智能问答""","部分对应","知识库能力本身有支撑，但“用户可更新知识库”属于运维和产品能力，需要补充权限、流程和索引更新机制。"
"校核","根据行业标准校核当前文本错误","合同未提及","无直接对应条款","部分对应","工作安排第4类：""语义验证与反馈""","部分对应","工作安排中的语义验证更偏向校验LLM生成的水文输出是否符合知识与数据约束，并不等同于对任意文本按行业标准做全面审校。"
"应急快报","根据监测数据自动生成预警单，支持用户下载编辑","部分相关，需解释","可关联合同第（1）条：""结果输出等核心流程集成""；合同第（4）条：""结果输出机制""","部分对应","工作安排第2类：""大模型工作流相关库""（预测预警）；""构建水利业务工作流""（洪水四预业务工作流）；第1类：""预测结果输出""","部分对应","监测/预测触发预警与结果输出有依据，但“预警单”这种文书生成及下载编辑能力未被直接写明。"
"应急快报","根据要求匹配应急预案，生成应急单","合同未提及","无直接对应条款","部分对应","工作安排第2类：""大模型工作流相关库""（预案生成）；""构建水利业务工作流""","部分对应","工作安排已提到预案生成，但“按要求匹配预案并生成应急单”仍需要模板、规则和表单输出设计，宜认定为部分对应。"
"应急快报","根据历史方案和应急预案要求，实现应急演练方案自动生成，支持用户下载编辑","合同未提及","无直接对应条款","部分对应","工作安排第2类：""大模型工作流相关库""（预案生成、预演执行）；""构建水利业务工作流""","部分对应","工作安排可支撑演练方案生成的思路，但“历史方案复用 + 应急演练文书自动生成 + 下载编辑”未被完全展开，仍有明显扩展空间。"
